state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,0
California,2
Colorado,0
Connecticut,0
Delaware,0
Florida,1
Georgia,0
Hawaii,1
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,1
Massachusetts,1
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,1
New Mexico,0
Nevada,1
New York,1
Ohio,0
Oklahoma,0
Oregon,1
Pennsylvania,0
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,1
Utah,0
Virginia,1
Vermont,0
Washington,1
Wisconsin,0
West Virginia,0
Wyoming,1
